"year","location","crime","rate_per_100K","county"
2015,"United States","Aggravated Assault",238.1,NA
2015,"United States","Homicide",4.9,NA
2015,"United States","Property Crime",2500.5,NA
2015,"United States","Rape Legacy",28.4,NA
2015,"United States","Rape Revised",39.3,NA
2015,"United States","Robbery",102.2,NA
2015,"United States","Violent Crime",373.7,NA
2009,"United States","Aggravated Assault",264.7,NA
2009,"United States","Homicide",5,NA
2009,"United States","Property Crime",3041.3,NA
2009,"United States","Rape Legacy",29.1,NA
2009,"United States","Rape Revised",NA,NA
2009,"United States","Robbery",133.1,NA
2009,"United States","Violent Crime",431.9,NA
2010,"United States","Aggravated Assault",252.8,NA
2010,"United States","Homicide",4.8,NA
2010,"United States","Property Crime",2945.9,NA
2010,"United States","Rape Legacy",27.7,NA
2010,"United States","Rape Revised",NA,NA
2010,"United States","Robbery",119.3,NA
2010,"United States","Violent Crime",404.5,NA
2011,"United States","Aggravated Assault",241.5,NA
2011,"United States","Homicide",4.7,NA
2011,"United States","Property Crime",2905.4,NA
2011,"United States","Rape Legacy",27,NA
2011,"United States","Rape Revised",NA,NA
2011,"United States","Robbery",113.9,NA
2011,"United States","Violent Crime",387.1,NA
2017,"United States","Aggravated Assault",249.2,NA
2017,"United States","Homicide",5.3,NA
2017,"United States","Property Crime",2362.9,NA
2017,"United States","Rape Legacy",NA,NA
2017,"United States","Rape Revised",41.7,NA
2017,"United States","Robbery",98.6,NA
2017,"United States","Violent Crime",394.9,NA
2012,"United States","Aggravated Assault",242.8,NA
2012,"United States","Homicide",4.7,NA
2012,"United States","Property Crime",2868,NA
2012,"United States","Rape Legacy",27.1,NA
2012,"United States","Rape Revised",NA,NA
2012,"United States","Robbery",113.1,NA
2012,"United States","Violent Crime",387.8,NA
2013,"United States","Aggravated Assault",229.6,NA
2013,"United States","Homicide",4.5,NA
2013,"United States","Property Crime",2733.6,NA
2013,"United States","Rape Legacy",25.9,NA
2013,"United States","Rape Revised",35.9,NA
2013,"United States","Robbery",109,NA
2013,"United States","Violent Crime",369.1,NA
2014,"United States","Aggravated Assault",229.2,NA
2014,"United States","Homicide",4.4,NA
2014,"United States","Property Crime",2574.1,NA
2014,"United States","Rape Legacy",26.6,NA
2014,"United States","Rape Revised",37,NA
2014,"United States","Robbery",101.3,NA
2014,"United States","Violent Crime",361.6,NA
2016,"United States","Aggravated Assault",248.3,NA
2016,"United States","Homicide",5.4,NA
2016,"United States","Property Crime",2451.6,NA
2016,"United States","Rape Legacy",30,NA
2016,"United States","Rape Revised",40.9,NA
2016,"United States","Robbery",102.9,NA
2016,"United States","Violent Crime",397.5,NA
2018,"United States","Aggravated Assault",248.2,NA
2018,"United States","Homicide",5,NA
2018,"United States","Property Crime",2209.8,NA
2018,"United States","Rape Legacy",NA,NA
2018,"United States","Rape Revised",44,NA
2018,"United States","Robbery",86.1,NA
2018,"United States","Violent Crime",383.4,NA
2019,"United States","Aggravated Assault",250.2,NA
2019,"United States","Homicide",5,NA
2019,"United States","Property Crime",2109.9,NA
2019,"United States","Rape Legacy",NA,NA
2019,"United States","Rape Revised",42.6,NA
2019,"United States","Robbery",81.6,NA
2019,"United States","Violent Crime",379.4,NA
2013,"Georgia","Aggravated Assault",213.7,"DeKalb County"
2013,"Georgia","Homicide",5.6,"DeKalb County"
2013,"Georgia","Property Crime",3399.9,"DeKalb County"
2013,"Georgia","Rape Legacy",20.2,"DeKalb County"
2013,"Georgia","Rape Revised",28.9,"DeKalb County"
2013,"Georgia","Robbery",127.1,"DeKalb County"
2013,"Georgia","Violent Crime",375.4,"DeKalb County"
2015,"Georgia","Aggravated Assault",220.3,"DeKalb County"
2015,"Georgia","Homicide",6.1,"DeKalb County"
2015,"Georgia","Property Crime",3098.3,"DeKalb County"
2015,"Georgia","Rape Legacy",23,"DeKalb County"
2015,"Georgia","Rape Revised",31.9,"DeKalb County"
2015,"Georgia","Robbery",123,"DeKalb County"
2015,"Georgia","Violent Crime",381.3,"DeKalb County"
2014,"Georgia","Aggravated Assault",222,"DeKalb County"
2014,"Georgia","Homicide",6,"DeKalb County"
2014,"Georgia","Property Crime",3358.8,"DeKalb County"
2014,"Georgia","Rape Legacy",21.9,"DeKalb County"
