"county","state","race","age_group","year","Male","Female"
"DeKalb County","Georgia","Black","16 to 64 years",2009,14.79,14.41
"DeKalb County","Georgia","Black","65 years and over",2009,12.14,7.94
"DeKalb County","Georgia","Native American","16 to 64 years",2009,7.82,3.25
"DeKalb County","Georgia","Native American","65 years and over",2009,NA,NA
"DeKalb County","Georgia","Asian","16 to 64 years",2009,4.34,5.46
"DeKalb County","Georgia","Asian","65 years and over",2009,2.18,0
"DeKalb County","Georgia","White","16 to 64 years",2009,5.31,4.77
"DeKalb County","Georgia","White","65 years and over",2009,3.43,0.67
"DeKalb County","Georgia","Hispanic or Latino","16 to 64 years",2009,6.85,10.04
"DeKalb County","Georgia","Hispanic or Latino","65 years and over",2009,9.87,0
"Androscoggin County","Maine","Black","16 to 64 years",2009,16.23,35.5
"Androscoggin County","Maine","Black","65 years and over",2009,NA,NA
"Androscoggin County","Maine","Native American","16 to 64 years",2009,7.14,15.18
"Androscoggin County","Maine","Native American","65 years and over",2009,NA,NA
"Androscoggin County","Maine","Asian","16 to 64 years",2009,5.13,0
"Androscoggin County","Maine","Asian","65 years and over",2009,NA,0
"Androscoggin County","Maine","White","16 to 64 years",2009,7.69,6.2
"Androscoggin County","Maine","White","65 years and over",2009,3.26,3.25
"Androscoggin County","Maine","Hispanic or Latino","16 to 64 years",2009,14.25,5.91
"Androscoggin County","Maine","Hispanic or Latino","65 years and over",2009,NA,NA
"Cumberland County","Maine","Black","16 to 64 years",2009,6.88,16.94
"Cumberland County","Maine","Black","65 years and over",2009,NA,NA
"Cumberland County","Maine","Native American","16 to 64 years",2009,17.45,34.09
"Cumberland County","Maine","Native American","65 years and over",2009,NA,NA
"Cumberland County","Maine","Asian","16 to 64 years",2009,4.52,7.34
"Cumberland County","Maine","Asian","65 years and over",2009,0,0
"Cumberland County","Maine","White","16 to 64 years",2009,5.48,3.77
"Cumberland County","Maine","White","65 years and over",2009,2.25,1.19
"Cumberland County","Maine","Hispanic or Latino","16 to 64 years",2009,11.68,3.63
"Cumberland County","Maine","Hispanic or Latino","65 years and over",2009,0,NA
"Hennepin County","Minnesota","Black","16 to 64 years",2009,18.22,16.55
"Hennepin County","Minnesota","Black","65 years and over",2009,15.38,16.18
"Hennepin County","Minnesota","Native American","16 to 64 years",2009,25.77,14.49
"Hennepin County","Minnesota","Native American","65 years and over",2009,0,0
"Hennepin County","Minnesota","Asian","16 to 64 years",2009,5.68,7.05
"Hennepin County","Minnesota","Asian","65 years and over",2009,9.57,0
"Hennepin County","Minnesota","White","16 to 64 years",2009,5.38,4
"Hennepin County","Minnesota","White","65 years and over",2009,3.82,2.8
"Hennepin County","Minnesota","Hispanic or Latino","16 to 64 years",2009,6.33,8.52
"Hennepin County","Minnesota","Hispanic or Latino","65 years and over",2009,18.41,0
"Stearns County","Minnesota","Black","16 to 64 years",2009,18.8,40.86
"Stearns County","Minnesota","Black","65 years and over",2009,0,0
"Stearns County","Minnesota","Native American","16 to 64 years",2009,21.88,8.62
"Stearns County","Minnesota","Native American","65 years and over",2009,NA,0
"Stearns County","Minnesota","Asian","16 to 64 years",2009,0,7.51
"Stearns County","Minnesota","Asian","65 years and over",2009,0,NA
"Stearns County","Minnesota","White","16 to 64 years",2009,5.8,3.76
"Stearns County","Minnesota","White","65 years and over",2009,2.63,3.51
"Stearns County","Minnesota","Hispanic or Latino","16 to 64 years",2009,7.35,25.09
"Stearns County","Minnesota","Hispanic or Latino","65 years and over",2009,NA,NA
"Franklin County","Ohio","Black","16 to 64 years",2009,15.31,13.35
"Franklin County","Ohio","Black","65 years and over",2009,4.12,11.18
"Franklin County","Ohio","Native American","16 to 64 years",2009,11.34,9.03
"Franklin County","Ohio","Native American","65 years and over",2009,NA,0
"Franklin County","Ohio","Asian","16 to 64 years",2009,3.79,6.35
"Franklin County","Ohio","Asian","65 years and over",2009,0,0
"Franklin County","Ohio","White","16 to 64 years",2009,5.83,5.41
"Franklin County","Ohio","White","65 years and over",2009,3.75,3.43
"Franklin County","Ohio","Hispanic or Latino","16 to 64 years",2009,4.68,10.4
